Laufzeit zum Lösen des Modells: 0.553 s
Gesamtlaufzeit: 0.543 s
Total Length: 328.7 cm

| Zeichen   |   Kosten |   Wort |
|-----------|----------|--------|
| ，        |        3 |    000 |
| 。        |        3 |    001 |
| 「        |        4 |    002 |
| 」        |        4 |    003 |
| 》        |        4 |   0100 |
| ：        |        4 |   0101 |
| 《        |        4 |   0110 |
| 之        |        4 |   0111 |
| 格        |        4 |    012 |
| 不        |        4 |    013 |
| 有        |        4 |    020 |
| 為        |        4 |    021 |
| 云        |        4 |    030 |
| 時        |        5 |    004 |
| 其        |        5 |   0102 |
| 一        |        5 |   0103 |
| 武        |        5 |   0112 |
| 相        |        5 |   0113 |
| 人        |        5 |    014 |
| 詩        |        5 |    022 |
| 風        |        5 |    023 |
| 也        |        5 |   0310 |
| 公        |        5 |   0311 |
| 是        |        5 |    032 |
| 知        |        5 |    033 |
| 在        |        5 |    040 |
| 誰        |        5 |    041 |
| ；        |        5 |  10000 |
| 未        |        5 |  10001 |
| 都        |        5 |  10010 |
| 、        |        5 |  10011 |
| 馬        |        5 |   1002 |
| 嚴        |        5 |   1003 |
| 而        |        5 |  10100 |
| 意        |        5 |  10101 |
| 以        |        5 |  10110 |
| 言        |        5 |  10111 |
| 日        |        5 |   1012 |
| 十        |        5 |   1013 |
| 百        |        5 |   1020 |
| 皆        |        5 |   1021 |
| 作        |        5 |   1030 |
| 者        |        5 |   1031 |
| 花        |        5 |    104 |
| 天        |        5 |  11000 |
| 調        |        5 |  11001 |
| 性        |        5 |  11010 |
| 情        |        5 |  11011 |
| 律        |        5 |   1102 |
| 骨        |        5 |   1103 |
| 無        |        5 |  11100 |
| 大        |        5 |  11101 |
| 志        |        5 |  11110 |
| 非        |        5 |  11111 |
| 禹        |        5 |   1112 |
| 文        |        5 |   1113 |
| 光        |        5 |   1120 |
| 與        |        5 |   1121 |
| 李        |        5 |   1130 |
| 通        |        5 |   1131 |
| 尤        |        5 |    114 |
| 目        |        5 |   1200 |
| 曰        |        5 |   1201 |
| 君        |        5 |   1210 |
| 得        |        5 |   1211 |
| 韓        |        5 |    122 |
| 王        |        5 |    123 |
| 後        |        5 |   1300 |
| 見        |        5 |   1301 |
| 解        |        5 |   1310 |
