Optimal solution found:
permutation_0_0 = 1.0
permutation_0_1 = -0.0
permutation_0_2 = -0.0
permutation_0_3 = -0.0
permutation_0_4 = -0.0
permutation_0_5 = -0.0
permutation_0_6 = -0.0
permutation_0_7 = -0.0
permutation_0_8 = -0.0
permutation_0_9 = -0.0
permutation_0_10 = -0.0
permutation_1_0 = -0.0
permutation_1_1 = 0.0
permutation_1_2 = 0.0
permutation_1_3 = 0.0
permutation_1_4 = 0.0
permutation_1_5 = 0.0
permutation_1_6 = 0.0
permutation_1_7 = 0.0
permutation_1_8 = 0.0
permutation_1_9 = 1.0
permutation_1_10 = -0.0
permutation_2_0 = -0.0
permutation_2_1 = 0.0
permutation_2_2 = 0.0
permutation_2_3 = 0.0
permutation_2_4 = 1.0
permutation_2_5 = 0.0
permutation_2_6 = 0.0
permutation_2_7 = 0.0
permutation_2_8 = 0.0
permutation_2_9 = 0.0
permutation_2_10 = -0.0
permutation_3_0 = -0.0
permutation_3_1 = 1.0
permutation_3_2 = 0.0
permutation_3_3 = 0.0
permutation_3_4 = 0.0
permutation_3_5 = 0.0
permutation_3_6 = 0.0
permutation_3_7 = 0.0
permutation_3_8 = 0.0
permutation_3_9 = 0.0
permutation_3_10 = -0.0
permutation_4_0 = -0.0
permutation_4_1 = 0.0
permutation_4_2 = 0.0
permutation_4_3 = 1.0
permutation_4_4 = 0.0
permutation_4_5 = 0.0
permutation_4_6 = 0.0
permutation_4_7 = 0.0
permutation_4_8 = 0.0
permutation_4_9 = 0.0
permutation_4_10 = -0.0
permutation_5_0 = -0.0
permutation_5_1 = 0.0
permutation_5_2 = 0.0
permutation_5_3 = 0.0
permutation_5_4 = 0.0
permutation_5_5 = 0.0
permutation_5_6 = 0.0
permutation_5_7 = 1.0
permutation_5_8 = 0.0
permutation_5_9 = 0.0
permutation_5_10 = -0.0
permutation_6_0 = -0.0
permutation_6_1 = 0.0
permutation_6_2 = 0.0
permutation_6_3 = 0.0
permutation_6_4 = 0.0
permutation_6_5 = 0.0
permutation_6_6 = 1.0
permutation_6_7 = 0.0
permutation_6_8 = 0.0
permutation_6_9 = 0.0
permutation_6_10 = -0.0
permutation_7_0 = -0.0
permutation_7_1 = 0.0
permutation_7_2 = 0.0
permutation_7_3 = 0.0
permutation_7_4 = 0.0
permutation_7_5 = 1.0
permutation_7_6 = 0.0
permutation_7_7 = 0.0
permutation_7_8 = 0.0
permutation_7_9 = 0.0
permutation_7_10 = -0.0
permutation_8_0 = -0.0
permutation_8_1 = 0.0
permutation_8_2 = 0.0
permutation_8_3 = 0.0
permutation_8_4 = 0.0
permutation_8_5 = 0.0
permutation_8_6 = 0.0
permutation_8_7 = 0.0
permutation_8_8 = 1.0
permutation_8_9 = 0.0
permutation_8_10 = -0.0
permutation_9_0 = -0.0
permutation_9_1 = 0.0
permutation_9_2 = 1.0
permutation_9_3 = 0.0
permutation_9_4 = 0.0
permutation_9_5 = 0.0
permutation_9_6 = 0.0
permutation_9_7 = 0.0
permutation_9_8 = 0.0
permutation_9_9 = 0.0
permutation_9_10 = -0.0
permutation_10_0 = -0.0
permutation_10_1 = -0.0
permutation_10_2 = -0.0
permutation_10_3 = -0.0
permutation_10_4 = -0.0
permutation_10_5 = -0.0
permutation_10_6 = -0.0
permutation_10_7 = -0.0
permutation_10_8 = -0.0
permutation_10_9 = -0.0
permutation_10_10 = 1.0
permutation_0_0 = -0.0
permutation_0_1 = 0.0
permutation_0_2 = 1.0
permutation_0_3 = 1.0
permutation_0_4 = 1.0
permutation_0_5 = 1.0
permutation_0_6 = 1.0
permutation_0_7 = 1.0
permutation_0_8 = 1.0
permutation_0_9 = 0.0
permutation_0_10 = -0.0
permutation_1_0 = -0.0
permutation_1_1 = 1.0
permutation_1_2 = 1.0
permutation_1_3 = 1.0
permutation_1_4 = 1.0
permutation_1_5 = 1.0
permutation_1_6 = 1.0
permutation_1_7 = 1.0
permutation_1_8 = 1.0
permutation_1_9 = 1.0
permutation_1_10 = -0.0
permutation_2_0 = -0.0
permutation_2_1 = 1.0
permutation_2_2 = 1.0
permutation_2_3 = 1.0
permutation_2_4 = 1.0
permutation_2_5 = 0.0
permutation_2_6 = 0.0
permutation_2_7 = 0.0
permutation_2_8 = 0.0
permutation_2_9 = 0.0
permutation_2_10 = -0.0
permutation_3_0 = -0.0
permutation_3_1 = 1.0
permutation_3_2 = 1.0
permutation_3_3 = 0.0
permutation_3_4 = 0.0
permutation_3_5 = 0.0
permutation_3_6 = 0.0
permutation_3_7 = 0.0
permutation_3_8 = 0.0
permutation_3_9 = 0.0
permutation_3_10 = -0.0
