Laufzeit zum Lösen des Modells: 0.489 s
Gesamtlaufzeit: 0.48 s
Total Length: 328.7 cm

| Zeichen   |   Kosten |   Wort |
|-----------|----------|--------|
| ，        |        3 |      4 |
| 。        |        3 |     02 |
| 「        |        4 |     04 |
| 」        |        4 |     14 |
| 》        |        4 |     22 |
| ：        |        4 |     23 |
| 《        |        4 |     32 |
| 之        |        4 |     33 |
| 格        |        4 |    002 |
| 不        |        4 |    003 |
| 有        |        4 |    012 |
| 為        |        4 |    013 |
| 云        |        4 |    030 |
| 時        |        5 |     24 |
| 其        |        5 |     34 |
| 一        |        5 |    004 |
| 武        |        5 |    014 |
| 相        |        5 |    032 |
| 人        |        5 |    033 |
| 詩        |        5 |    104 |
| 風        |        5 |    114 |
| 也        |        5 |    122 |
| 公        |        5 |    123 |
| 是        |        5 |    132 |
| 知        |        5 |    133 |
| 在        |        5 |    202 |
| 誰        |        5 |    203 |
| ；        |        5 |    212 |
| 未        |        5 |    213 |
| 都        |        5 |    302 |
| 、        |        5 |    303 |
| 馬        |        5 |    312 |
| 嚴        |        5 |    313 |
| 而        |        5 |   0002 |
| 意        |        5 |   0003 |
| 以        |        5 |   0012 |
| 言        |        5 |   0013 |
| 日        |        5 |   0102 |
| 十        |        5 |   0103 |
| 百        |        5 |   0112 |
| 皆        |        5 |   0113 |
| 作        |        5 |   0310 |
| 者        |        5 |   0311 |
| 花        |        5 |   1002 |
| 天        |        5 |   1003 |
| 調        |        5 |   1012 |
| 性        |        5 |   1013 |
| 情        |        5 |   1020 |
| 律        |        5 |   1021 |
| 骨        |        5 |   1030 |
| 無        |        5 |   1031 |
| 大        |        5 |   1102 |
| 志        |        5 |   1103 |
| 非        |        5 |   1112 |
| 禹        |        5 |   1113 |
| 文        |        5 |   1120 |
| 光        |        5 |   1121 |
| 與        |        5 |   1130 |
| 李        |        5 |   1131 |
| 通        |        5 |   1200 |
| 尤        |        5 |   1201 |
| 目        |        5 |   1210 |
| 曰        |        5 |   1211 |
| 君        |        5 |   1300 |
| 得        |        5 |   1301 |
| 韓        |        5 |   1310 |
| 王        |        5 |   1311 |
| 後        |        5 |   2000 |
| 見        |        5 |   2001 |
| 解        |        5 |   2010 |
| 林        |        5 |   2011 |
| 將        |        5 |   2100 |
| 開        |        5 |   2101 |
| 看        |        5 |   2110 |
| 來        |        5 |   2111 |
| 四        |        5 |   3000 |
| 此        |        5 |   3001 |
| 便        |        5 |   3010 |
| 年        |        5 |   3011 |
| 已        |        5 |   3100 |
| 中        |        5 |   3101 |
| 出        |        5 |   3110 |
| 七        |        5 |   3111 |
| 上        |        5 |  00000 |
| 問        |        6 |    034 |
| 濟        |        6 |    124 |
| 才        |        6 |    134 |
| 何        |        6 |    204 |
| 滿        |        6 |    214 |
| 自        |        6 |    304 |
| 水        |        6 |    314 |
| 外        |        6 |   0004 |
| 多        |        6 |   0014 |
| 枝        |        6 |   0104 |
| 繩        |        6 |   0114 |
| 深        |        6 |   0312 |
|           |        6 |   0313 |
| 好        |        6 |   1004 |
| 談        |        6 |   1014 |
| 趣        |        6 |   1022 |
| 三        |        6 |   1023 |
| 篇        |        6 |   1032 |
| 同        |        6 |   1033 |
| 乎        |        6 |   1104 |
| 吟        |        6 |   1114 |
| 古        |        6 |   1122 |
| 英        |        6 |   1123 |
| 雄        |        6 |   1132 |
| 遇        |        6 |   1133 |
| 止        |        6 |   1202 |
| 鄧        |        6 |   1203 |
| 希        |        6 |   1212 |
| 學        |        6 |   1213 |
| 望        |        6 |   1302 |
| 督        |        6 |   1303 |
| 郵        |        6 |   1312 |
| 晉        |        6 |   1313 |
| 妻        |        6 |   2002 |
| 肯        |        6 |   2003 |
| 去        |        6 |   2012 |
| 齊        |        6 |   2013 |
| 貧        |        6 |   2102 |
| 訟        |        6 |   2103 |
| 逋        |        6 |   2112 |
| 租        |        6 |   2113 |
| 於        |        6 |   3002 |
| 奇        |        6 |   3003 |
| 歸        |        6 |   3012 |
| 謂        |        6 |   3013 |
| 寧        |        6 |   3102 |
| 耶        |        6 |   3103 |
| 窺        |        6 |   3112 |
| 盼        |        6 |   3113 |
| 榮        |        6 |  00002 |
| 蘄        |        6 |  00003 |
| 小        |        6 |  00012 |
| 卒        |        6 |  00013 |
| 士        |        6 |  00102 |
| 封        |        6 |  00103 |
| 怒        |        6 |  00112 |
| 侮        |        6 |  00113 |
| 己        |        6 |  01002 |
| 奮        |        6 |  01003 |
| 拳        |        6 |  01012 |
| 毆        |        6 |  01013 |
| 般        |        6 |  01102 |
| 鄂        |        6 |  01103 |
| 西        |        6 |  01112 |
| 辛        |        6 |  01113 |
| 丑        |        6 |  10002 |
| 元        |        6 |  10003 |
| 攬        |        6 |  10012 |
| 鏡        |        6 |  10013 |
| 老        |        6 |  10102 |
| 門        |        6 |  10103 |
| 草        |        6 |  10112 |
| 生        |        6 |  10113 |
| 詠        |        6 |  11002 |
| 懷        |        6 |  11003 |
| 猶        |        6 |  11012 |
| 如        |        6 |  11013 |
| 到        |        6 |  11102 |
| 可        |        6 |  11103 |
| 郎        |        6 |  11112 |
